# Generated from Unicode 17.0.0 GraphemeBreakTest.txt
# Distributed under the Unicode License v3; see UNICODE-LICENSE
nagi-fixture-v1	text-grapheme-break
unicode-0395	text=\u{1100}\u{1F1E6}	boundaries=0,3,7
unicode-0396	text=\u{1100}\u{308}\u{1F1E6}	boundaries=0,5,9
unicode-0397	text=\u{1100}\u{6DD}	boundaries=0,3,5
unicode-0398	text=\u{1100}\u{308}\u{6DD}	boundaries=0,5,7
unicode-0399	text=\u{1100}\u{903}	boundaries=0,6
unicode-0400	text=\u{1100}\u{308}\u{903}	boundaries=0,8
unicode-0401	text=\u{1100}\u{1100}	boundaries=0,6
unicode-0402	text=\u{1100}\u{308}\u{1100}	boundaries=0,5,8
unicode-0403	text=\u{1100}\u{1160}	boundaries=0,6
unicode-0404	text=\u{1100}\u{308}\u{1160}	boundaries=0,5,8
unicode-0405	text=\u{1100}\u{11A8}	boundaries=0,3,6
unicode-0406	text=\u{1100}\u{308}\u{11A8}	boundaries=0,5,8
unicode-0407	text=\u{1100}\u{AC00}	boundaries=0,6
unicode-0408	text=\u{1100}\u{308}\u{AC00}	boundaries=0,5,8
unicode-0409	text=\u{1100}\u{AC01}	boundaries=0,6
unicode-0410	text=\u{1100}\u{308}\u{AC01}	boundaries=0,5,8
unicode-0411	text=\u{1100}\u{915}	boundaries=0,3,6
unicode-0412	text=\u{1100}\u{308}\u{915}	boundaries=0,5,8
unicode-0413	text=\u{1100}\u{A9}	boundaries=0,3,5
unicode-0414	text=\u{1100}\u{308}\u{A9}	boundaries=0,5,7
unicode-0415	text=\u{1100}\u{20}	boundaries=0,3,4
unicode-0416	text=\u{1100}\u{308}\u{20}	boundaries=0,5,6
unicode-0417	text=\u{1100}\u{378}	boundaries=0,3,5
unicode-0418	text=\u{1100}\u{308}\u{378}	boundaries=0,5,7
unicode-0419	text=\u{1160}\u{D}	boundaries=0,3,4
unicode-0420	text=\u{1160}\u{308}\u{D}	boundaries=0,5,6
unicode-0421	text=\u{1160}\u{A}	boundaries=0,3,4
unicode-0422	text=\u{1160}\u{308}\u{A}	boundaries=0,5,6
unicode-0423	text=\u{1160}\u{0}	boundaries=0,3,4
unicode-0424	text=\u{1160}\u{308}\u{0}	boundaries=0,5,6
unicode-0425	text=\u{1160}\u{94D}	boundaries=0,6
unicode-0426	text=\u{1160}\u{308}\u{94D}	boundaries=0,8
unicode-0427	text=\u{1160}\u{300}	boundaries=0,5
unicode-0428	text=\u{1160}\u{308}\u{300}	boundaries=0,7
unicode-0429	text=\u{1160}\u{200C}	boundaries=0,6
unicode-0430	text=\u{1160}\u{308}\u{200C}	boundaries=0,8
unicode-0431	text=\u{1160}\u{200D}	boundaries=0,6
unicode-0432	text=\u{1160}\u{308}\u{200D}	boundaries=0,8
unicode-0433	text=\u{1160}\u{1F1E6}	boundaries=0,3,7
unicode-0434	text=\u{1160}\u{308}\u{1F1E6}	boundaries=0,5,9
unicode-0435	text=\u{1160}\u{6DD}	boundaries=0,3,5
unicode-0436	text=\u{1160}\u{308}\u{6DD}	boundaries=0,5,7
unicode-0437	text=\u{1160}\u{903}	boundaries=0,6
unicode-0438	text=\u{1160}\u{308}\u{903}	boundaries=0,8
unicode-0439	text=\u{1160}\u{1100}	boundaries=0,3,6
unicode-0440	text=\u{1160}\u{308}\u{1100}	boundaries=0,5,8
unicode-0441	text=\u{1160}\u{1160}	boundaries=0,6
unicode-0442	text=\u{1160}\u{308}\u{1160}	boundaries=0,5,8
unicode-0443	text=\u{1160}\u{11A8}	boundaries=0,6
unicode-0444	text=\u{1160}\u{308}\u{11A8}	boundaries=0,5,8
unicode-0445	text=\u{1160}\u{AC00}	boundaries=0,3,6
unicode-0446	text=\u{1160}\u{308}\u{AC00}	boundaries=0,5,8
unicode-0447	text=\u{1160}\u{AC01}	boundaries=0,3,6
unicode-0448	text=\u{1160}\u{308}\u{AC01}	boundaries=0,5,8
unicode-0449	text=\u{1160}\u{915}	boundaries=0,3,6
unicode-0450	text=\u{1160}\u{308}\u{915}	boundaries=0,5,8
unicode-0451	text=\u{1160}\u{A9}	boundaries=0,3,5
unicode-0452	text=\u{1160}\u{308}\u{A9}	boundaries=0,5,7
unicode-0453	text=\u{1160}\u{20}	boundaries=0,3,4
unicode-0454	text=\u{1160}\u{308}\u{20}	boundaries=0,5,6
unicode-0455	text=\u{1160}\u{378}	boundaries=0,3,5
unicode-0456	text=\u{1160}\u{308}\u{378}	boundaries=0,5,7
unicode-0457	text=\u{11A8}\u{D}	boundaries=0,3,4
unicode-0458	text=\u{11A8}\u{308}\u{D}	boundaries=0,5,6
unicode-0459	text=\u{11A8}\u{A}	boundaries=0,3,4
unicode-0460	text=\u{11A8}\u{308}\u{A}	boundaries=0,5,6
unicode-0461	text=\u{11A8}\u{0}	boundaries=0,3,4
unicode-0462	text=\u{11A8}\u{308}\u{0}	boundaries=0,5,6
unicode-0463	text=\u{11A8}\u{94D}	boundaries=0,6
unicode-0464	text=\u{11A8}\u{308}\u{94D}	boundaries=0,8
unicode-0465	text=\u{11A8}\u{300}	boundaries=0,5
unicode-0466	text=\u{11A8}\u{308}\u{300}	boundaries=0,7
unicode-0467	text=\u{11A8}\u{200C}	boundaries=0,6
unicode-0468	text=\u{11A8}\u{308}\u{200C}	boundaries=0,8
unicode-0469	text=\u{11A8}\u{200D}	boundaries=0,6
unicode-0470	text=\u{11A8}\u{308}\u{200D}	boundaries=0,8
unicode-0471	text=\u{11A8}\u{1F1E6}	boundaries=0,3,7
unicode-0472	text=\u{11A8}\u{308}\u{1F1E6}	boundaries=0,5,9
unicode-0473	text=\u{11A8}\u{6DD}	boundaries=0,3,5
unicode-0474	text=\u{11A8}\u{308}\u{6DD}	boundaries=0,5,7
unicode-0475	text=\u{11A8}\u{903}	boundaries=0,6
unicode-0476	text=\u{11A8}\u{308}\u{903}	boundaries=0,8
unicode-0477	text=\u{11A8}\u{1100}	boundaries=0,3,6
unicode-0478	text=\u{11A8}\u{308}\u{1100}	boundaries=0,5,8
unicode-0479	text=\u{11A8}\u{1160}	boundaries=0,3,6
unicode-0480	text=\u{11A8}\u{308}\u{1160}	boundaries=0,5,8
unicode-0481	text=\u{11A8}\u{11A8}	boundaries=0,6
unicode-0482	text=\u{11A8}\u{308}\u{11A8}	boundaries=0,5,8
unicode-0483	text=\u{11A8}\u{AC00}	boundaries=0,3,6
unicode-0484	text=\u{11A8}\u{308}\u{AC00}	boundaries=0,5,8
unicode-0485	text=\u{11A8}\u{AC01}	boundaries=0,3,6
unicode-0486	text=\u{11A8}\u{308}\u{AC01}	boundaries=0,5,8
unicode-0487	text=\u{11A8}\u{915}	boundaries=0,3,6
unicode-0488	text=\u{11A8}\u{308}\u{915}	boundaries=0,5,8
unicode-0489	text=\u{11A8}\u{A9}	boundaries=0,3,5
unicode-0490	text=\u{11A8}\u{308}\u{A9}	boundaries=0,5,7
unicode-0491	text=\u{11A8}\u{20}	boundaries=0,3,4
unicode-0492	text=\u{11A8}\u{308}\u{20}	boundaries=0,5,6
unicode-0493	text=\u{11A8}\u{378}	boundaries=0,3,5
unicode-0494	text=\u{11A8}\u{308}\u{378}	boundaries=0,5,7
unicode-0495	text=\u{AC00}\u{D}	boundaries=0,3,4
unicode-0496	text=\u{AC00}\u{308}\u{D}	boundaries=0,5,6
unicode-0497	text=\u{AC00}\u{A}	boundaries=0,3,4
unicode-0498	text=\u{AC00}\u{308}\u{A}	boundaries=0,5,6
unicode-0499	text=\u{AC00}\u{0}	boundaries=0,3,4
unicode-0500	text=\u{AC00}\u{308}\u{0}	boundaries=0,5,6
unicode-0501	text=\u{AC00}\u{94D}	boundaries=0,6
unicode-0502	text=\u{AC00}\u{308}\u{94D}	boundaries=0,8
unicode-0503	text=\u{AC00}\u{300}	boundaries=0,5
unicode-0504	text=\u{AC00}\u{308}\u{300}	boundaries=0,7
unicode-0505	text=\u{AC00}\u{200C}	boundaries=0,6
unicode-0506	text=\u{AC00}\u{308}\u{200C}	boundaries=0,8
unicode-0507	text=\u{AC00}\u{200D}	boundaries=0,6
unicode-0508	text=\u{AC00}\u{308}\u{200D}	boundaries=0,8
unicode-0509	text=\u{AC00}\u{1F1E6}	boundaries=0,3,7
unicode-0510	text=\u{AC00}\u{308}\u{1F1E6}	boundaries=0,5,9
unicode-0511	text=\u{AC00}\u{6DD}	boundaries=0,3,5
unicode-0512	text=\u{AC00}\u{308}\u{6DD}	boundaries=0,5,7
unicode-0513	text=\u{AC00}\u{903}	boundaries=0,6
unicode-0514	text=\u{AC00}\u{308}\u{903}	boundaries=0,8
unicode-0515	text=\u{AC00}\u{1100}	boundaries=0,3,6
unicode-0516	text=\u{AC00}\u{308}\u{1100}	boundaries=0,5,8
unicode-0517	text=\u{AC00}\u{1160}	boundaries=0,6
unicode-0518	text=\u{AC00}\u{308}\u{1160}	boundaries=0,5,8
unicode-0519	text=\u{AC00}\u{11A8}	boundaries=0,6
unicode-0520	text=\u{AC00}\u{308}\u{11A8}	boundaries=0,5,8
unicode-0521	text=\u{AC00}\u{AC00}	boundaries=0,3,6
unicode-0522	text=\u{AC00}\u{308}\u{AC00}	boundaries=0,5,8
unicode-0523	text=\u{AC00}\u{AC01}	boundaries=0,3,6
unicode-0524	text=\u{AC00}\u{308}\u{AC01}	boundaries=0,5,8
unicode-0525	text=\u{AC00}\u{915}	boundaries=0,3,6
unicode-0526	text=\u{AC00}\u{308}\u{915}	boundaries=0,5,8
unicode-0527	text=\u{AC00}\u{A9}	boundaries=0,3,5
unicode-0528	text=\u{AC00}\u{308}\u{A9}	boundaries=0,5,7
unicode-0529	text=\u{AC00}\u{20}	boundaries=0,3,4
unicode-0530	text=\u{AC00}\u{308}\u{20}	boundaries=0,5,6
unicode-0531	text=\u{AC00}\u{378}	boundaries=0,3,5
unicode-0532	text=\u{AC00}\u{308}\u{378}	boundaries=0,5,7
unicode-0533	text=\u{AC01}\u{D}	boundaries=0,3,4
unicode-0534	text=\u{AC01}\u{308}\u{D}	boundaries=0,5,6
unicode-0535	text=\u{AC01}\u{A}	boundaries=0,3,4
unicode-0536	text=\u{AC01}\u{308}\u{A}	boundaries=0,5,6
unicode-0537	text=\u{AC01}\u{0}	boundaries=0,3,4
unicode-0538	text=\u{AC01}\u{308}\u{0}	boundaries=0,5,6
unicode-0539	text=\u{AC01}\u{94D}	boundaries=0,6
unicode-0540	text=\u{AC01}\u{308}\u{94D}	boundaries=0,8
unicode-0541	text=\u{AC01}\u{300}	boundaries=0,5
unicode-0542	text=\u{AC01}\u{308}\u{300}	boundaries=0,7
unicode-0543	text=\u{AC01}\u{200C}	boundaries=0,6
unicode-0544	text=\u{AC01}\u{308}\u{200C}	boundaries=0,8
unicode-0545	text=\u{AC01}\u{200D}	boundaries=0,6
unicode-0546	text=\u{AC01}\u{308}\u{200D}	boundaries=0,8
unicode-0547	text=\u{AC01}\u{1F1E6}	boundaries=0,3,7
unicode-0548	text=\u{AC01}\u{308}\u{1F1E6}	boundaries=0,5,9
unicode-0549	text=\u{AC01}\u{6DD}	boundaries=0,3,5
unicode-0550	text=\u{AC01}\u{308}\u{6DD}	boundaries=0,5,7
unicode-0551	text=\u{AC01}\u{903}	boundaries=0,6
unicode-0552	text=\u{AC01}\u{308}\u{903}	boundaries=0,8
unicode-0553	text=\u{AC01}\u{1100}	boundaries=0,3,6
unicode-0554	text=\u{AC01}\u{308}\u{1100}	boundaries=0,5,8
unicode-0555	text=\u{AC01}\u{1160}	boundaries=0,3,6
unicode-0556	text=\u{AC01}\u{308}\u{1160}	boundaries=0,5,8
unicode-0557	text=\u{AC01}\u{11A8}	boundaries=0,6
unicode-0558	text=\u{AC01}\u{308}\u{11A8}	boundaries=0,5,8
unicode-0559	text=\u{AC01}\u{AC00}	boundaries=0,3,6
unicode-0560	text=\u{AC01}\u{308}\u{AC00}	boundaries=0,5,8
unicode-0561	text=\u{AC01}\u{AC01}	boundaries=0,3,6
unicode-0562	text=\u{AC01}\u{308}\u{AC01}	boundaries=0,5,8
unicode-0563	text=\u{AC01}\u{915}	boundaries=0,3,6
unicode-0564	text=\u{AC01}\u{308}\u{915}	boundaries=0,5,8
unicode-0565	text=\u{AC01}\u{A9}	boundaries=0,3,5
unicode-0566	text=\u{AC01}\u{308}\u{A9}	boundaries=0,5,7
unicode-0567	text=\u{AC01}\u{20}	boundaries=0,3,4
unicode-0568	text=\u{AC01}\u{308}\u{20}	boundaries=0,5,6
unicode-0569	text=\u{AC01}\u{378}	boundaries=0,3,5
unicode-0570	text=\u{AC01}\u{308}\u{378}	boundaries=0,5,7
unicode-0571	text=\u{915}\u{D}	boundaries=0,3,4
unicode-0572	text=\u{915}\u{308}\u{D}	boundaries=0,5,6
unicode-0573	text=\u{915}\u{A}	boundaries=0,3,4
unicode-0574	text=\u{915}\u{308}\u{A}	boundaries=0,5,6
unicode-0575	text=\u{915}\u{0}	boundaries=0,3,4
unicode-0576	text=\u{915}\u{308}\u{0}	boundaries=0,5,6
unicode-0577	text=\u{915}\u{94D}	boundaries=0,6
unicode-0578	text=\u{915}\u{308}\u{94D}	boundaries=0,8
unicode-0579	text=\u{915}\u{300}	boundaries=0,5
unicode-0580	text=\u{915}\u{308}\u{300}	boundaries=0,7
unicode-0581	text=\u{915}\u{200C}	boundaries=0,6
unicode-0582	text=\u{915}\u{308}\u{200C}	boundaries=0,8
unicode-0583	text=\u{915}\u{200D}	boundaries=0,6
unicode-0584	text=\u{915}\u{308}\u{200D}	boundaries=0,8
unicode-0585	text=\u{915}\u{1F1E6}	boundaries=0,3,7
unicode-0586	text=\u{915}\u{308}\u{1F1E6}	boundaries=0,5,9
unicode-0587	text=\u{915}\u{6DD}	boundaries=0,3,5
unicode-0588	text=\u{915}\u{308}\u{6DD}	boundaries=0,5,7
unicode-0589	text=\u{915}\u{903}	boundaries=0,6
unicode-0590	text=\u{915}\u{308}\u{903}	boundaries=0,8
unicode-0591	text=\u{915}\u{1100}	boundaries=0,3,6
unicode-0592	text=\u{915}\u{308}\u{1100}	boundaries=0,5,8
unicode-0593	text=\u{915}\u{1160}	boundaries=0,3,6
unicode-0594	text=\u{915}\u{308}\u{1160}	boundaries=0,5,8
unicode-0595	text=\u{915}\u{11A8}	boundaries=0,3,6
unicode-0596	text=\u{915}\u{308}\u{11A8}	boundaries=0,5,8
unicode-0597	text=\u{915}\u{AC00}	boundaries=0,3,6
unicode-0598	text=\u{915}\u{308}\u{AC00}	boundaries=0,5,8
unicode-0599	text=\u{915}\u{AC01}	boundaries=0,3,6
unicode-0600	text=\u{915}\u{308}\u{AC01}	boundaries=0,5,8
unicode-0601	text=\u{915}\u{915}	boundaries=0,3,6
unicode-0602	text=\u{915}\u{308}\u{915}	boundaries=0,5,8
unicode-0603	text=\u{915}\u{A9}	boundaries=0,3,5
unicode-0604	text=\u{915}\u{308}\u{A9}	boundaries=0,5,7
unicode-0605	text=\u{915}\u{20}	boundaries=0,3,4
unicode-0606	text=\u{915}\u{308}\u{20}	boundaries=0,5,6
unicode-0607	text=\u{915}\u{378}	boundaries=0,3,5
unicode-0608	text=\u{915}\u{308}\u{378}	boundaries=0,5,7
unicode-0609	text=\u{A9}\u{D}	boundaries=0,2,3
unicode-0610	text=\u{A9}\u{308}\u{D}	boundaries=0,4,5
unicode-0611	text=\u{A9}\u{A}	boundaries=0,2,3
unicode-0612	text=\u{A9}\u{308}\u{A}	boundaries=0,4,5
unicode-0613	text=\u{A9}\u{0}	boundaries=0,2,3
unicode-0614	text=\u{A9}\u{308}\u{0}	boundaries=0,4,5
unicode-0615	text=\u{A9}\u{94D}	boundaries=0,5
unicode-0616	text=\u{A9}\u{308}\u{94D}	boundaries=0,7
unicode-0617	text=\u{A9}\u{300}	boundaries=0,4
unicode-0618	text=\u{A9}\u{308}\u{300}	boundaries=0,6
unicode-0619	text=\u{A9}\u{200C}	boundaries=0,5
unicode-0620	text=\u{A9}\u{308}\u{200C}	boundaries=0,7
unicode-0621	text=\u{A9}\u{200D}	boundaries=0,5
unicode-0622	text=\u{A9}\u{308}\u{200D}	boundaries=0,7
unicode-0623	text=\u{A9}\u{1F1E6}	boundaries=0,2,6
unicode-0624	text=\u{A9}\u{308}\u{1F1E6}	boundaries=0,4,8
unicode-0625	text=\u{A9}\u{6DD}	boundaries=0,2,4
unicode-0626	text=\u{A9}\u{308}\u{6DD}	boundaries=0,4,6
unicode-0627	text=\u{A9}\u{903}	boundaries=0,5
unicode-0628	text=\u{A9}\u{308}\u{903}	boundaries=0,7
unicode-0629	text=\u{A9}\u{1100}	boundaries=0,2,5
unicode-0630	text=\u{A9}\u{308}\u{1100}	boundaries=0,4,7
unicode-0631	text=\u{A9}\u{1160}	boundaries=0,2,5
unicode-0632	text=\u{A9}\u{308}\u{1160}	boundaries=0,4,7
unicode-0633	text=\u{A9}\u{11A8}	boundaries=0,2,5
unicode-0634	text=\u{A9}\u{308}\u{11A8}	boundaries=0,4,7
unicode-0635	text=\u{A9}\u{AC00}	boundaries=0,2,5
unicode-0636	text=\u{A9}\u{308}\u{AC00}	boundaries=0,4,7
unicode-0637	text=\u{A9}\u{AC01}	boundaries=0,2,5
unicode-0638	text=\u{A9}\u{308}\u{AC01}	boundaries=0,4,7
unicode-0639	text=\u{A9}\u{915}	boundaries=0,2,5
unicode-0640	text=\u{A9}\u{308}\u{915}	boundaries=0,4,7
unicode-0641	text=\u{A9}\u{A9}	boundaries=0,2,4
unicode-0642	text=\u{A9}\u{308}\u{A9}	boundaries=0,4,6
unicode-0643	text=\u{A9}\u{20}	boundaries=0,2,3
unicode-0644	text=\u{A9}\u{308}\u{20}	boundaries=0,4,5
unicode-0645	text=\u{A9}\u{378}	boundaries=0,2,4
unicode-0646	text=\u{A9}\u{308}\u{378}	boundaries=0,4,6
unicode-0647	text=\u{20}\u{D}	boundaries=0,1,2
unicode-0648	text=\u{20}\u{308}\u{D}	boundaries=0,3,4
unicode-0649	text=\u{20}\u{A}	boundaries=0,1,2
unicode-0650	text=\u{20}\u{308}\u{A}	boundaries=0,3,4
unicode-0651	text=\u{20}\u{0}	boundaries=0,1,2
unicode-0652	text=\u{20}\u{308}\u{0}	boundaries=0,3,4
unicode-0653	text=\u{20}\u{94D}	boundaries=0,4
unicode-0654	text=\u{20}\u{308}\u{94D}	boundaries=0,6
unicode-0655	text=\u{20}\u{300}	boundaries=0,3
unicode-0656	text=\u{20}\u{308}\u{300}	boundaries=0,5
unicode-0657	text=\u{20}\u{200C}	boundaries=0,4
unicode-0658	text=\u{20}\u{308}\u{200C}	boundaries=0,6
unicode-0659	text=\u{20}\u{200D}	boundaries=0,4
unicode-0660	text=\u{20}\u{308}\u{200D}	boundaries=0,6
unicode-0661	text=\u{20}\u{1F1E6}	boundaries=0,1,5
unicode-0662	text=\u{20}\u{308}\u{1F1E6}	boundaries=0,3,7
unicode-0663	text=\u{20}\u{6DD}	boundaries=0,1,3
unicode-0664	text=\u{20}\u{308}\u{6DD}	boundaries=0,3,5
unicode-0665	text=\u{20}\u{903}	boundaries=0,4
unicode-0666	text=\u{20}\u{308}\u{903}	boundaries=0,6
unicode-0667	text=\u{20}\u{1100}	boundaries=0,1,4
unicode-0668	text=\u{20}\u{308}\u{1100}	boundaries=0,3,6
unicode-0669	text=\u{20}\u{1160}	boundaries=0,1,4
unicode-0670	text=\u{20}\u{308}\u{1160}	boundaries=0,3,6
unicode-0671	text=\u{20}\u{11A8}	boundaries=0,1,4
unicode-0672	text=\u{20}\u{308}\u{11A8}	boundaries=0,3,6
unicode-0673	text=\u{20}\u{AC00}	boundaries=0,1,4
unicode-0674	text=\u{20}\u{308}\u{AC00}	boundaries=0,3,6
unicode-0675	text=\u{20}\u{AC01}	boundaries=0,1,4
unicode-0676	text=\u{20}\u{308}\u{AC01}	boundaries=0,3,6
unicode-0677	text=\u{20}\u{915}	boundaries=0,1,4
unicode-0678	text=\u{20}\u{308}\u{915}	boundaries=0,3,6
unicode-0679	text=\u{20}\u{A9}	boundaries=0,1,3
unicode-0680	text=\u{20}\u{308}\u{A9}	boundaries=0,3,5
unicode-0681	text=\u{20}\u{20}	boundaries=0,1,2
unicode-0682	text=\u{20}\u{308}\u{20}	boundaries=0,3,4
unicode-0683	text=\u{20}\u{378}	boundaries=0,1,3
unicode-0684	text=\u{20}\u{308}\u{378}	boundaries=0,3,5
unicode-0685	text=\u{378}\u{D}	boundaries=0,2,3
unicode-0686	text=\u{378}\u{308}\u{D}	boundaries=0,4,5
unicode-0687	text=\u{378}\u{A}	boundaries=0,2,3
unicode-0688	text=\u{378}\u{308}\u{A}	boundaries=0,4,5
unicode-0689	text=\u{378}\u{0}	boundaries=0,2,3
unicode-0690	text=\u{378}\u{308}\u{0}	boundaries=0,4,5
unicode-0691	text=\u{378}\u{94D}	boundaries=0,5
unicode-0692	text=\u{378}\u{308}\u{94D}	boundaries=0,7
unicode-0693	text=\u{378}\u{300}	boundaries=0,4
unicode-0694	text=\u{378}\u{308}\u{300}	boundaries=0,6
unicode-0695	text=\u{378}\u{200C}	boundaries=0,5
unicode-0696	text=\u{378}\u{308}\u{200C}	boundaries=0,7
unicode-0697	text=\u{378}\u{200D}	boundaries=0,5
unicode-0698	text=\u{378}\u{308}\u{200D}	boundaries=0,7
unicode-0699	text=\u{378}\u{1F1E6}	boundaries=0,2,6
unicode-0700	text=\u{378}\u{308}\u{1F1E6}	boundaries=0,4,8
unicode-0701	text=\u{378}\u{6DD}	boundaries=0,2,4
unicode-0702	text=\u{378}\u{308}\u{6DD}	boundaries=0,4,6
unicode-0703	text=\u{378}\u{903}	boundaries=0,5
unicode-0704	text=\u{378}\u{308}\u{903}	boundaries=0,7
unicode-0705	text=\u{378}\u{1100}	boundaries=0,2,5
unicode-0706	text=\u{378}\u{308}\u{1100}	boundaries=0,4,7
unicode-0707	text=\u{378}\u{1160}	boundaries=0,2,5
unicode-0708	text=\u{378}\u{308}\u{1160}	boundaries=0,4,7
unicode-0709	text=\u{378}\u{11A8}	boundaries=0,2,5
unicode-0710	text=\u{378}\u{308}\u{11A8}	boundaries=0,4,7
unicode-0711	text=\u{378}\u{AC00}	boundaries=0,2,5
unicode-0712	text=\u{378}\u{308}\u{AC00}	boundaries=0,4,7
unicode-0713	text=\u{378}\u{AC01}	boundaries=0,2,5
unicode-0714	text=\u{378}\u{308}\u{AC01}	boundaries=0,4,7
unicode-0715	text=\u{378}\u{915}	boundaries=0,2,5
unicode-0716	text=\u{378}\u{308}\u{915}	boundaries=0,4,7
unicode-0717	text=\u{378}\u{A9}	boundaries=0,2,4
unicode-0718	text=\u{378}\u{308}\u{A9}	boundaries=0,4,6
unicode-0719	text=\u{378}\u{20}	boundaries=0,2,3
unicode-0720	text=\u{378}\u{308}\u{20}	boundaries=0,4,5
unicode-0721	text=\u{378}\u{378}	boundaries=0,2,4
unicode-0722	text=\u{378}\u{308}\u{378}	boundaries=0,4,6
unicode-0723	text=\u{D}\u{A}\u{61}\u{A}\u{308}	boundaries=0,2,3,4,6
unicode-0724	text=\u{61}\u{308}	boundaries=0,3
unicode-0725	text=\u{20}\u{200D}\u{646}	boundaries=0,4,6
unicode-0726	text=\u{646}\u{200D}\u{20}	boundaries=0,5,6
unicode-0727	text=\u{1100}\u{1100}	boundaries=0,6
unicode-0728	text=\u{AC00}\u{11A8}\u{1100}	boundaries=0,6,9
unicode-0729	text=\u{AC01}\u{11A8}\u{1100}	boundaries=0,6,9
unicode-0730	text=\u{1F1E6}\u{1F1E7}\u{1F1E8}\u{62}	boundaries=0,8,12,13
unicode-0731	text=\u{61}\u{1F1E6}\u{1F1E7}\u{1F1E8}\u{62}	boundaries=0,1,9,13,14
unicode-0732	text=\u{61}\u{1F1E6}\u{1F1E7}\u{200D}\u{1F1E8}\u{62}	boundaries=0,1,12,16,17
unicode-0733	text=\u{61}\u{1F1E6}\u{200D}\u{1F1E7}\u{1F1E8}\u{62}	boundaries=0,1,8,16,17
unicode-0734	text=\u{61}\u{1F1E6}\u{1F1E7}\u{1F1E8}\u{1F1E9}\u{62}	boundaries=0,1,9,17,18
unicode-0735	text=\u{61}\u{200D}	boundaries=0,4
unicode-0736	text=\u{61}\u{308}\u{62}	boundaries=0,3,4
unicode-0737	text=\u{61}\u{903}\u{62}	boundaries=0,4,5
unicode-0738	text=\u{61}\u{600}\u{62}	boundaries=0,1,4
unicode-0739	text=\u{1F476}\u{1F3FF}\u{1F476}	boundaries=0,8,12
unicode-0740	text=\u{61}\u{1F3FF}\u{1F476}	boundaries=0,5,9
unicode-0741	text=\u{61}\u{1F3FF}\u{1F476}\u{200D}\u{1F6D1}	boundaries=0,5,16
unicode-0742	text=\u{1F476}\u{1F3FF}\u{308}\u{200D}\u{1F476}\u{1F3FF}	boundaries=0,21
unicode-0743	text=\u{1F6D1}\u{200D}\u{1F6D1}	boundaries=0,11
unicode-0744	text=\u{61}\u{200D}\u{1F6D1}	boundaries=0,4,8
unicode-0745	text=\u{2701}\u{200D}\u{2701}	boundaries=0,6,9
unicode-0746	text=\u{61}\u{200D}\u{2701}	boundaries=0,4,7
unicode-0747	text=\u{915}\u{924}	boundaries=0,3,6
unicode-0748	text=\u{915}\u{94D}\u{924}	boundaries=0,9
unicode-0749	text=\u{915}\u{94D}\u{94D}\u{924}	boundaries=0,12
unicode-0750	text=\u{915}\u{94D}\u{200D}\u{924}	boundaries=0,12
unicode-0751	text=\u{915}\u{93C}\u{200D}\u{94D}\u{924}	boundaries=0,15
unicode-0752	text=\u{915}\u{93C}\u{94D}\u{200D}\u{924}	boundaries=0,15
unicode-0753	text=\u{915}\u{94D}\u{924}\u{94D}\u{92F}	boundaries=0,15
unicode-0754	text=\u{915}\u{94D}\u{61}	boundaries=0,6,7
unicode-0755	text=\u{61}\u{94D}\u{924}	boundaries=0,4,7
unicode-0756	text=\u{3F}\u{94D}\u{924}	boundaries=0,4,7
unicode-0757	text=\u{915}\u{94D}\u{94D}\u{924}	boundaries=0,12
unicode-0758	text=\u{AB8}\u{AFB}\u{ACD}\u{AB8}\u{AFB}	boundaries=0,15
unicode-0759	text=\u{1019}\u{1039}\u{1018}\u{102C}\u{1037}	boundaries=0,9,15
unicode-0760	text=\u{1004}\u{103A}\u{1039}\u{1011}\u{1039}\u{1011}	boundaries=0,18
unicode-0761	text=\u{1B12}\u{1B01}\u{1B32}\u{1B44}\u{1B2F}\u{1B32}\u{1B44}\u{1B22}\u{1B44}\u{1B2C}\u{1B32}\u{1B44}\u{1B22}\u{1B38}	boundaries=0,6,15,30,42
unicode-0762	text=\u{179F}\u{17D2}\u{178F}\u{17D2}\u{179A}\u{17B8}	boundaries=0,18
unicode-0763	text=\u{1B26}\u{1B17}\u{1B44}\u{1B13}	boundaries=0,3,12
unicode-0764	text=\u{1B27}\u{1B13}\u{1B44}\u{1B0B}\u{1B0B}\u{1B04}	boundaries=0,3,12,18
unicode-0765	text=\u{1795}\u{17D2}\u{17AF}\u{1798}	boundaries=0,9,12
unicode-0766	text=\u{17A0}\u{17D2}\u{17AB}\u{1791}\u{17D0}\u{1799}	boundaries=0,9,15,18
